"","date_time","value"
"491",2017-11-12 08:59:00,6107.41
"492",2017-11-12 09:04:00,6159.16
"493",2017-11-12 09:09:00,6046.27
"494",2017-11-12 09:14:00,6108.62
"495",2017-11-12 09:19:00,5839.79
"496",2017-11-12 09:24:00,6053.83
"497",2017-11-12 09:29:00,6039.21
"498",2017-11-12 09:34:00,6049.34
"499",2017-11-12 09:39:00,6136.9
"500",2017-11-12 09:44:00,6136.1
"501",2017-11-12 09:49:00,6249.22
"502",2017-11-12 09:54:00,6214.45
"503",2017-11-12 09:59:00,6155.74
"504",2017-11-12 10:04:00,6171.98
"505",2017-11-12 10:09:00,6133.65
"506",2017-11-12 10:14:00,6294.78
"507",2017-11-12 10:19:00,6203.19
"508",2017-11-12 10:24:00,6301.64
"509",2017-11-12 10:29:00,6382.02
"510",2017-11-12 10:34:00,6163.72
"511",2017-11-12 10:39:00,6216.46
"512",2017-11-12 10:44:00,6273.55
"513",2017-11-12 10:49:00,6352.74
"514",2017-11-12 10:54:00,6386.47
"515",2017-11-12 10:59:00,6415.55
"516",2017-11-12 11:04:00,6515.13
"517",2017-11-12 11:09:00,6382.33
"518",2017-11-12 11:14:00,6558.95
"519",2017-11-12 11:19:00,6625.05
"520",2017-11-12 11:24:00,6295.73
"521",2017-11-12 11:29:00,6463.97
"522",2017-11-12 11:34:00,6428.41
"523",2017-11-12 11:39:00,6429.74
"524",2017-11-12 11:44:00,6168.68
"525",2017-11-12 11:49:00,6406.76
"526",2017-11-12 11:54:00,6222.29
"527",2017-11-12 11:59:00,6462.62
"528",2017-11-12 12:04:00,6227.65
"529",2017-11-12 12:09:00,6252.51
"530",2017-11-12 12:14:00,6303.75
"531",2017-11-12 12:19:00,6267.27
"532",2017-11-12 12:24:00,6461.27
"533",2017-11-12 12:29:00,6312.9
"534",2017-11-12 12:34:00,6246.65
"535",2017-11-12 12:39:00,6241.38
"536",2017-11-12 12:44:00,6190.15
"537",2017-11-12 12:49:00,6327.4
"538",2017-11-12 12:54:00,6155.01
"539",2017-11-12 12:59:00,6223.54
"540",2017-11-12 13:04:00,6219.86
"541",2017-11-12 13:09:00,5976.41
"542",2017-11-12 13:14:00,6124.46
"543",2017-11-12 13:19:00,6102.97
"544",2017-11-12 13:24:00,5953.26
"545",2017-11-12 13:29:00,6192.21
"546",2017-11-12 13:34:00,6206.12
"547",2017-11-12 13:39:00,6145.65
"548",2017-11-12 13:44:00,6171.72
"549",2017-11-12 13:49:00,6104.81
"550",2017-11-12 13:54:00,6208.61
"551",2017-11-12 13:59:00,6256.28
"552",2017-11-12 14:04:00,6336.94
"553",2017-11-12 14:09:00,6266.33
"554",2017-11-12 14:14:00,6221.12
"555",2017-11-12 14:19:00,6263.43
"556",2017-11-12 14:24:00,6246.93
"557",2017-11-12 14:29:00,6132.97
"558",2017-11-12 14:34:00,6204.4
"559",2017-11-12 14:39:00,6212.41
"560",2017-11-12 14:44:00,6280.29
"561",2017-11-12 14:49:00,6246.51
"562",2017-11-12 14:54:00,6128.45
"563",2017-11-12 14:59:00,6138.53
"564",2017-11-12 15:04:00,6269.87
"565",2017-11-12 15:09:00,6253.57
"566",2017-11-12 15:14:00,6233.76
"567",2017-11-12 15:19:00,6214.34
"568",2017-11-12 15:24:00,6206.92
"569",2017-11-12 15:29:00,6192.16
"570",2017-11-12 15:34:00,6285.52
"571",2017-11-12 15:39:00,6254.92
"572",2017-11-12 15:44:00,6412.27
"573",2017-11-12 15:49:00,6280.06
"574",2017-11-12 15:54:00,6337.9
"575",2017-11-12 15:59:00,6202.32
"576",2017-11-12 16:04:00,6259.75
"577",2017-11-12 16:09:00,6234.01
"578",2017-11-12 16:14:00,6252.2
"579",2017-11-12 16:19:00,6171.66
"580",2017-11-12 16:24:00,6137.3
"581",2017-11-12 16:29:00,6249.31
"582",2017-11-12 16:34:00,6207.78
"583",2017-11-12 16:39:00,6202.72
"584",2017-11-12 16:44:00,6235.62
"585",2017-11-12 16:49:00,6191.49
"586",2017-11-12 16:54:00,6171.02
"587",2017-11-12 16:59:00,6174.85
"588",2017-11-12 17:04:00,6164.01
"589",2017-11-12 17:09:00,6206.05
"590",2017-11-12 17:14:00,6146.42
"591",2017-11-12 17:19:00,6120.83
"592",2017-11-12 17:24:00,6178.12
"593",2017-11-12 17:29:00,6159.76
"594",2017-11-12 17:34:00,6155.67
"595",2017-11-12 17:39:00,6216.31
"596",2017-11-12 17:44:00,6194.4
"597",2017-11-12 17:49:00,6146.36
"598",2017-11-12 17:54:00,6100.91
"599",2017-11-12 17:59:00,6129.78
"600",2017-11-12 18:04:00,6107.35
"601",2017-11-12 18:09:00,6188.67
"602",2017-11-12 18:14:00,6176.45
"603",2017-11-12 18:19:00,6105.9
"604",2017-11-12 18:24:00,6247.26
"605",2017-11-12 18:29:00,6171.44
"606",2017-11-12 18:34:00,6166.97
"607",2017-11-12 18:39:00,6108.95
"608",2017-11-12 18:44:00,6154.81
"609",2017-11-12 18:49:00,6123.6
"610",2017-11-12 18:54:00,6242.3
"611",2017-11-12 18:59:00,6266.12
"612",2017-11-12 19:04:00,6265.87
"613",2017-11-12 19:09:00,6189.48
"614",2017-11-12 19:14:00,6202.35
"615",2017-11-12 19:19:00,6130.55
"616",2017-11-12 19:24:00,6126.19
"617",2017-11-12 19:29:00,6144.2
"618",2017-11-12 19:34:00,5987.24
"619",2017-11-12 19:39:00,6093.65
"620",2017-11-12 19:44:00,6038.52
"621",2017-11-12 19:49:00,6168.22
"622",2017-11-12 19:54:00,6069.28
"623",2017-11-12 19:59:00,6115.39
"624",2017-11-12 20:04:00,6187.31
"625",2017-11-12 20:09:00,6165
"626",2017-11-12 20:14:00,6044.64
"627",2017-11-12 20:19:00,6099.79
"628",2017-11-12 20:24:00,6125.06
"629",2017-11-12 20:29:00,6113.56
"630",2017-11-12 20:34:00,6078.48
"631",2017-11-12 20:39:00,6138.18
"632",2017-11-12 20:44:00,6118.57
"633",2017-11-12 20:49:00,6103.52
"634",2017-11-12 20:54:00,6042.92
"635",2017-11-12 20:59:00,5923.98
"636",2017-11-12 21:04:00,5951.99
"637",2017-11-12 21:09:00,5943.51
"638",2017-11-12 21:14:00,5941.5
"639",2017-11-12 21:19:00,5906.48
"640",2017-11-12 21:24:00,5892.23
"641",2017-11-12 21:29:00,5827.23
"642",2017-11-12 21:34:00,5962.23
"643",2017-11-12 21:39:00,5938.44
"644",2017-11-12 21:44:00,5918.08
"645",2017-11-12 21:49:00,5903.28
"646",2017-11-12 21:54:00,5870.56
"647",2017-11-12 21:59:00,5911.63
"648",2017-11-12 22:04:00,5880.2
"649",2017-11-12 22:09:00,5810.62
"650",2017-11-12 22:14:00,5744.34
"651",2017-11-12 22:19:00,5952.81
"652",2017-11-12 22:24:00,5816.32
"653",2017-11-12 22:29:00,5870.56
"654",2017-11-12 22:34:00,5799.37
"655",2017-11-12 22:39:00,5830.44
"656",2017-11-12 22:44:00,5774.27
"657",2017-11-12 22:49:00,5703.46
"658",2017-11-12 22:54:00,5756.22
"659",2017-11-12 22:59:00,5779.92
"660",2017-11-12 23:04:00,5726.55
"661",2017-11-12 23:09:00,5850.03
"662",2017-11-12 23:14:00,5765.36
"663",2017-11-12 23:19:00,5722.97
"664",2017-11-12 23:24:00,5741.36
